Date,Name,Year,Letterboxd URI,Rating
2021-07-08,Clueless,1995,https://boxd.it/1Ygk,4
2021-07-09,Monsters University,2013,https://boxd.it/bQm,3
2021-07-11,Cruella,2021,https://boxd.it/bbKg,2
2021-07-12,Auntie Edna,2018,https://boxd.it/jXaw,3
2021-07-12,Shiva Baby,2020,https://boxd.it/oIv0,4.5
2021-07-14,Back to the Future,1985,https://boxd.it/2b8e,4
2021-07-14,Following,1998,https://boxd.it/1Tj4,3.5
2021-07-14,Get Smart,2008,https://boxd.it/1Tig,3.5
2021-07-14,Arthur Christmas,2011,https://boxd.it/Cg6,3.5
2021-07-14,Groundhog Day,1993,https://boxd.it/2b3e,3
2021-07-14,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,3
2021-07-14,Madagascar,2005,https://boxd.it/29dc,3
2021-07-14,DodgeBall: A True Underdog Story,2004,https://boxd.it/1YAY,3
2021-07-14,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,2.5
2021-07-14,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,2.5
2021-07-14,Horrible Bosses,2011,https://boxd.it/Ba2,2.5
2021-07-14,LEGO Star Wars Holiday Special,2020,https://boxd.it/rtpC,2.5
2021-07-14,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,2
2021-07-14,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS,1.5
2021-07-14,Ghostbusters,2016,https://boxd.it/Vm8,2
2021-07-14,Dark Shadows,2012,https://boxd.it/bQ2,2
2021-07-14,The Change-Up,2011,https://boxd.it/FRu,2
2021-07-14,Death to 2020,2020,https://boxd.it/t4EQ,2
2021-07-14,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,1.5
2021-07-14,Between Two Ferns: The Movie,2019,https://boxd.it/lw9g,2.5
2021-07-14,Meet the Robinsons,2007,https://boxd.it/28Ym,2.5
2021-07-14,Men in Black II,2002,https://boxd.it/2a0y,2.5
2021-07-14,Pocahontas,1995,https://boxd.it/1W2g,2.5
2021-07-14,Top Gun,1986,https://boxd.it/29JC,2.5
2021-07-14,Spectre,2015,https://boxd.it/6bXY,2.5
2021-07-14,Aladdin,2019,https://boxd.it/eSjy,2.5
2021-07-16,Space Jam,1996,https://boxd.it/26YO,2
2021-07-18,"Big Mommas: Like Father, Like Son",2011,https://boxd.it/16fC,1
2021-07-18,Percy Jackson: Sea of Monsters,2013,https://boxd.it/2D8m,1
2021-07-18,Green Lantern,2011,https://boxd.it/QN4,1
